published_at,source,category,title,content,tags,url
05/31/2026 00:39,vnexpress.net,kinh-doanh,Catnomics - nền kinh tế mèo tỷ USD ở Nhật bản,"Ngành công nghiệp chăm sóc thú cưng, du lịch, tiếp thị... liên quan đến mèo tại Nhật Bản dự báo đạt quy mô 18,8 tỷ USD năm nay.","",https://vnexpress.net/catnomics-nen-kinh-te-meo-ty-usd-o-nhat-ban-5080053.html
05/31/2026 06:41,vnexpress.net,kinh-doanh,Ông lớn nhà hàng Mỹ tính bán chuỗi Pizza Hut vì kinh doanh khó khăn,Yum Brands đang đàm phán thương vụ bán chuỗi nhà hàng Pizza Hut cho công ty đầu tư LongRange Capital.,"",https://vnexpress.net/ong-lon-nha-hang-my-tinh-ban-chuoi-pizza-hut-vi-kinh-doanh-kho-khan-5080154.html
05/31/2026 08:24,vnexpress.net,the-thao,Luis Enrique: 'Arsenal cũng xứng đáng nếu đăng quang',"Sau khi thắng 4-3 ở loạt luân lưu chung kết Champions League 2026, HLV Luis Enrique bày tỏ sự tôn trọng với Arsenal và hết mực ca ngợi nỗ lực của cầu thủ PSG.","",https://vnexpress.net/luis-enrique-arsenal-cung-xung-dang-neu-dang-quang-5080201.html
05/31/2026 07:27,vnexpress.net,the-thao,Arsenal bị các kình địch chế giễu sau chung kết Champions League,"Các đại diện Man City, Chelsea, Tottenham hay Crystal Palace đồng loạt đăng bài hả hê sau khi Arsenal thua PSG ở loạt luân lưu chung kết Champions League 2025-2026.","",https://vnexpress.net/arsenal-bi-cac-kinh-dich-che-gieu-sau-chung-ket-champions-league-5080195.html
05/31/2026 06:33,vnexpress.net,the-thao,4 tranh cãi quanh trận PSG thắng Arsenal ở chung kết Champions League,"Trên báo Pháp L’Équipe, cựu trọng tài FIFA Said Ennjimi mổ xẻ các tình huống gây tranh cãi trong trận chung kết Champions League 2025-2026, nơi PSG vượt qua Arsenal với tỷ số 4-3 trên loạt sút luân lưu.","",https://vnexpress.net/4-tranh-cai-quanh-tran-psg-thang-arsenal-o-chung-ket-champions-league-5080192.html
05/31/2026 05:55,vnexpress.net,the-thao,Arteta: 'Thật nghiệt ngã cho Arsenal',HLV Mikel Arteta cảm thấy đau đớn khi Arsenal mở tỷ số nhưng sau đó thua PSG ở loạt luân lưu chung kết Champions League 2025-2026.,"",https://vnexpress.net/arteta-that-nghiet-nga-cho-arsenal-5080191.html
05/31/2026 05:34,vnexpress.net,the-thao,Rice bảo vệ hai cầu thủ sút hỏng luân lưu của Arsenal,"Tiền vệ Declan Rice đau đớn khi Arsenal thua PSG ở chung kết Champions League, nhưng không muốn đổ lỗi cho Gabriel và Eberechi Eze - những người đá hỏng luân lưu.","",https://vnexpress.net/rice-bao-ve-hai-cau-thu-sut-hong-luan-luu-cua-arsenal-5080190.html
05/31/2026 02:25,vnexpress.net,the-thao,"Platini: 'Mbappe không nên dính vào chính trị, kẻo mất lòng nửa thế giới'","Trên đài phát thanh Pháp RTL, huyền thoại bóng đá Pháp Michel Platini bảo vệ những phát ngôn của Kylian Mbappe, nhưng vẫn khuyên hậu bối không nên dính vào chính trị.","",https://vnexpress.net/platini-mbappe-khong-nen-dinh-vao-chinh-tri-keo-mat-long-nua-the-gioi-5079832.html
05/31/2026 02:13,vnexpress.net,the-thao,Thầy bói đoán Bồ Đào Nha vô địch World Cup 2026,"Michael Bruno, người từng đoán đúng ba nhà vô địch World Cup liên tiếp, cho rằng Cristiano Ronaldo và các đồng đội sẽ đăng quang ở đại hội năm nay.","",https://vnexpress.net/thay-boi-doan-bo-dao-nha-vo-dich-world-cup-2026-5079901.html
05/31/2026 06:00,vnexpress.net,phap-luat,"Thoát lao lý, cựu hiệu trưởng ở Cà Mau nói về 'bài học đắt giá'","Sau gần hai năm vướng lao lý, cựu hiệu trưởng Trần Văn Tâm cho rằng những gì đã trải qua là “bài học rất đắt giá” trong cuộc đời và công việc quản lý.","",https://vnexpress.net/thoat-lao-ly-cuu-hieu-truong-o-ca-mau-noi-ve-bai-hoc-dat-gia-5080103.html
